4.1652	0.18	-0.112
4.1908	0.153	-0.146
4.2075	0.12	-0.174
4.2251	0.081	-0.195
4.2455	0.037	-0.208
4.2653	-0.009	-0.211
4.2919	-0.055	-0.204
4.3089	-0.099	-0.187
4.3254	-0.139	-0.159
4.3455	-0.172	-0.123
4.3748	-0.196	-0.08
4.3913	-0.209	-0.031
4.4076	-0.211	0.02
4.4258	-0.199	0.07
4.4458	-0.176	0.117
4.4747	-0.142	0.157
4.492	-0.098	0.188
4.5081	-0.047	0.206
4.5261	0.007	0.211
4.5464	0.061	0.203
4.5662	0.111	0.18
4.5909	0.155	0.144
4.6083	0.187	0.098
4.6264	0.207	0.045
4.6465	0.211	-0.012
4.6746	0.2	-0.068
4.6911	0.174	-0.12
4.7085	0.135	-0.163
4.7268	0.086	-0.193
4.7469	0.029	-0.209
4.7748	-0.03	-0.209
4.791	-0.087	-0.193
4.808	-0.137	-0.161
4.8271	-0.176	-0.117
4.8473	-0.202	-0.063
4.8673	-0.211	-0.003
4.8915	-0.204	0.056
4.9078	-0.18	0.111
4.9275	-0.141	0.157
4.9576	-0.091	0.191
4.9676	-0.033	0.209
4.9918	0.027	0.21
5.0077	0.085	0.194
5.0279	0.136	0.162
5.0576	0.176	0.117
5.075	0.202	0.062
5.0911	0.211	0.003
5.1082	0.204	-0.056
5.1281	0.18	-0.111
5.1487	0.142	-0.157
5.1747	0.093	-0.19
5.1915	0.036	-0.208
5.2088	-0.023	-0.21
5.229	-0.08	-0.196
5.2488	-0.13	-0.167
5.2745	-0.171	-0.125
5.2917	-0.198	-0.074
5.3088	-0.211	-0.018
5.3289	-0.208	0.039
5.3576	-0.19	0.093
5.3741	-0.159	0.14
5.3912	-0.117	0.176
5.4092	-0.067	0.201
5.4293	-0.013	0.211
5.4582	0.041	0.207
5.4752	0.093	0.19
5.4909	0.137	0.161
5.5095	0.173	0.122
5.5303	0.197	0.076
5.5582	0.21	0.026
5.5744	0.21	-0.025
5.5912	0.198	-0.074
5.6098	0.175	-0.119
5.6299	0.143	-0.156
5.6576	0.104	-0.184
5.6747	0.06	-0.203
5.6911	0.014	-0.211
5.7102	-0.032	-0.209
5.7302	-0.076	-0.197
5.7581	-0.116	-0.177
5.7745	-0.15	-0.149
5.7919	-0.177	-0.116
5.8105	-0.197	-0.078
5.8307	-0.208	-0.038
5.8509	-0.211	0.002
5.8748	-0.207	0.042
5.8913	-0.196	0.079
5.9108	-0.179	0.112
5.9411	-0.157	0.142
5.9577	-0.131	0.166
5.9744	-0.101	0.186
5.9917	-0.07	0.2
6.0113	-0.038	0.208
6.0313	-0.006	0.211
6.058	0.025	0.21
6.0745	0.054	0.204
6.0922	0.082	0.195
6.1156	0.107	0.182
6.1318	0.129	0.167
6.1583	0.149	0.15
6.1748	0.165	0.132
6.1925	0.179	0.112
6.212	0.19	0.093
6.2413	0.199	0.073
6.2581	0.205	0.053
6.2749	0.209	0.034
6.2922	0.211	0.016
