0.579	 43.0
1.048	 58.0
1.768	 43.0
2.257	 53.0
2.971	 43.0
3.431	 53.0
4.176	 43.0
4.645	 53.0
5.377	 43.0
5.837	 53.0
6.58	 43.0
7.03	 53.0
7.777	 43.0
8.236	 53.0
8.978	 48.0
9.426	 53.0
10.163	 43.0
10.613	 53.0
11.395	 48.0
11.82	 53.0
12.571	 43.0
13.025	 53.0
13.78	 48.0
14.201	 53.0
14.957	 43.0
15.387	 48.0
16.159	 43.0
16.595	 48.0
17.36	 43.0
17.774	 48.0
18.586	 48.0
18.977	 48.0
19.779	 48.0
20.165	 48.0
20.969	 48.0
21.366	 48.0
22.16	 43.0
22.569	 48.0
23.382	 48.0
23.746	 48.0
24.549	 43.0
24.937	 43.0
25.77	 48.0
26.139	 48.0
26.966	 48.0
27.342	 48.0
28.174	 48.0
28.495	 43.0
29.339	 43.0
29.719	 48.0
