0.654	 122.0
1.943	 127.0
2.579	 102.0
3.232	 122.0
3.858	 92.0
4.491	 131.0
5.114	 107.0
5.778	 127.0
6.402	 97.0
7.039	 127.0
7.672	 107.0
8.322	 127.0
8.949	 102.0
9.587	 127.0
10.216	 102.0
10.866	 127.0
11.507	 112.0
12.128	 122.0
12.768	 102.0
13.41	 127.0
14.051	 117.0
14.68	 122.0
15.318	 97.0
15.967	 127.0
16.601	 117.0
17.229	 122.0
17.883	 102.0
18.513	 127.0
19.146	 122.0
19.776	 122.0
20.408	 102.0
21.057	 127.0
21.691	 127.0
22.329	 122.0
22.959	 107.0
23.602	 127.0
24.241	 127.0
24.871	 122.0
25.523	 112.0
26.16	 127.0
26.795	 127.0
27.421	 127.0
28.071	 112.0
28.706	 127.0
29.338	 131.0
